"initial_alias","converted_alias","name","description","namespace"
"ZNF518B","ENSG00000178163","ZNF518B","zinc finger protein 518B [Source:HGNC Symbol;Acc:HGNC:29365]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PLEKHH3","ENSG00000068137","PLEKHH3","pleckstrin homology, MyTH4 and FERM domain containing H3 [Source:HGNC Symbol;Acc:HGNC:26105]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"WNT9B","ENSG00000158955","WNT9B","Wnt family member 9B [Source:HGNC Symbol;Acc:HGNC:12779]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TFAP4","ENSG00000090447","TFAP4","transcription factor AP-4 [Source:HGNC Symbol;Acc:HGNC:11745]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"YWHAEP1","ENSG00000232727","YWHAEP1","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:49442]","GENECARDS,HGNC"
"ANKRD30BL","ENSG00000163046","ANKRD30BL","ankyrin repeat domain 30B like [Source:HGNC Symbol;Acc:HGNC:35167]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KCTD15","ENSG00000153885","KCTD15","potassium channel tetramerization domain containing 15 [Source:HGNC Symbol;Acc:HGNC:23297]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BDNF","ENSG00000176697","BDNF","brain derived neurotrophic factor [Source:HGNC Symbol;Acc:HGNC:1033]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LRRC40","ENSG00000066557","LRRC40","leucine rich repeat containing 40 [Source:HGNC Symbol;Acc:HGNC:26004]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EGR1","ENSG00000120738","EGR1","early growth response 1 [Source:HGNC Symbol;Acc:HGNC:3238]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LYL1","ENSG00000104903","LYL1","LYL1 basic helix-loop-helix family member [Source:HGNC Symbol;Acc:HGNC:6734]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HNRNPC","ENSG00000092199","HNRNPC","heterogeneous nuclear ribonucleoprotein C [Source:HGNC Symbol;Acc:HGNC:5035]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RAB24","ENSG00000169228","RAB24","RAB24, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9765]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TM4SF18","ENSG00000163762","TM4SF18","transmembrane 4 L six family member 18 [Source:HGNC Symbol;Acc:HGNC:25181]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TTC9C","ENSG00000162222","TTC9C","tetratricopeptide repeat domain 9C [Source:HGNC Symbol;Acc:HGNC:28432]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"COX4I2","ENSG00000131055","COX4I2","cytochrome c oxidase subunit 4I2 [Source:HGNC Symbol;Acc:HGNC:16232]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"COA5","ENSG00000183513","COA5","cytochrome c oxidase assembly factor 5 [Source:HGNC Symbol;Acc:HGNC:33848]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ACSS1","ENSG00000154930","ACSS1","acyl-CoA synthetase short chain family member 1 [Source:HGNC Symbol;Acc:HGNC:16091]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PAPSS2","ENSG00000198682","PAPSS2","3'-phosphoadenosine 5'-phosphosulfate synthase 2 [Source:HGNC Symbol;Acc:HGNC:8604]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MAN2C1","ENSG00000140400","MAN2C1","mannosidase alpha class 2C member 1 [Source:HGNC Symbol;Acc:HGNC:6827]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF4A1","ENSG00000161960","EIF4A1","eukaryotic translation initiation factor 4A1 [Source:HGNC Symbol;Acc:HGNC:3282]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LINC00865","ENSG00000232229","LINC00865","long intergenic non-protein coding RNA 865 [Source:HGNC Symbol;Acc:HGNC:45170]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"NPL","ENSG00000135838","NPL","N-acetylneuraminate pyruvate lyase [Source:HGNC Symbol;Acc:HGNC:16781]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ARMC3","ENSG00000165309","ARMC3","armadillo repeat containing 3 [Source:HGNC Symbol;Acc:HGNC:30964]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CA12","ENSG00000074410","CA12","carbonic anhydrase 12 [Source:HGNC Symbol;Acc:HGNC:1371]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MAP1A","ENSG00000166963","MAP1A","microtubule associated protein 1A [Source:HGNC Symbol;Acc:HGNC:6835]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"VASH1","ENSG00000071246","VASH1","vasohibin 1 [Source:HGNC Symbol;Acc:HGNC:19964]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"UBB","ENSG00000170315","UBB","ubiquitin B [Source:HGNC Symbol;Acc:HGNC:12463]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LMBR1L","ENSG00000139636","LMBR1L","limb development membrane protein 1 like [Source:HGNC Symbol;Acc:HGNC:18268]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MCPH1","ENSG00000147316","MCPH1","microcephalin 1 [Source:HGNC Symbol;Acc:HGNC:6954]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GNPNAT1","ENSG00000100522","GNPNAT1","glucosamine-phosphate N-acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:19980]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SETX","ENSG00000107290","SETX","senataxin [Source:HGNC Symbol;Acc:HGNC:445]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MIR548O","ENSG00000221510","MIR548O","microRNA 548o [Source:HGNC Symbol;Acc:HGNC:35333]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"FUT8-AS1","ENSG00000276116","FUT8-AS1","FUT8 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44294]","HGNC"
"ASNA1","None","None","None",""
"DPH6","ENSG00000134146","DPH6","diphthamine biosynthesis 6 [Source:HGNC Symbol;Acc:HGNC:30543]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SNIP1","ENSG00000163877","SNIP1","Smad nuclear interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:30587]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TTC27","ENSG00000018699","TTC27","tetratricopeptide repeat domain 27 [Source:HGNC Symbol;Acc:HGNC:25986]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"COX7A2","ENSG00000112695","COX7A2","cytochrome c oxidase subunit 7A2 [Source:HGNC Symbol;Acc:HGNC:2288]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PABPC1P2","ENSG00000198526","PABPC1P2","poly(A) binding protein cytoplasmic 1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:8559]","GENECARDS,HGNC"
"AMPD2","ENSG00000116337","AMPD2","adenosine monophosphate deaminase 2 [Source:HGNC Symbol;Acc:HGNC:469]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
