initial_alias,converted_alias,name,description,namespace
65985,ENSG00000081760,AACS,acetoacetyl-CoA synthetase [Source:HGNC Symbol;Acc:HGNC:21298],ENTREZGENE_ACC
8639,ENSG00000131471,AOC3,amine oxidase copper containing 3 [Source:HGNC Symbol;Acc:HGNC:550],ENTREZGENE_ACC
39,ENSG00000120437,ACAT2,acetyl-CoA acetyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:94],ENTREZGENE_ACC
38,ENSG00000075239,ACAT1,acetyl-CoA acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:93],ENTREZGENE_ACC
55902,ENSG00000131069,ACSS2,acyl-CoA synthetase short chain family member 2 [Source:HGNC Symbol;Acc:HGNC:15814],ENTREZGENE_ACC
79611,ENSG00000111058,ACSS3,acyl-CoA synthetase short chain family member 3 [Source:HGNC Symbol;Acc:HGNC:24723],ENTREZGENE_ACC
84532,ENSG00000154930,ACSS1,acyl-CoA synthetase short chain family member 1 [Source:HGNC Symbol;Acc:HGNC:16091],ENTREZGENE_ACC
6566,ENSG00000155380,SLC16A1,solute carrier family 16 member 1 [Source:HGNC Symbol;Acc:HGNC:10922],ENTREZGENE_ACC
2585,ENSG00000156958,GALK2,galactokinase 2 [Source:HGNC Symbol;Acc:HGNC:4119],ENTREZGENE_ACC
5973,ENSG00000102032,RENBP,renin binding protein [Source:HGNC Symbol;Acc:HGNC:9959],ENTREZGENE_ACC
55577,ENSG00000124357,NAGK,N-acetylglucosamine kinase [Source:HGNC Symbol;Acc:HGNC:17174],ENTREZGENE_ACC
5238,ENSG00000013375,PGM3,phosphoglucomutase 3 [Source:HGNC Symbol;Acc:HGNC:8907],ENTREZGENE_ACC
47,ENSG00000131473,ACLY,ATP citrate lyase [Source:HGNC Symbol;Acc:HGNC:115],ENTREZGENE_ACC
54187,ENSG00000095380,NANS,N-acetylneuraminate synthase [Source:HGNC Symbol;Acc:HGNC:19237],ENTREZGENE_ACC
140838,ENSG00000170191,NANP,N-acetylneuraminic acid phosphatase [Source:HGNC Symbol;Acc:HGNC:16140],ENTREZGENE_ACC
51205,ENSG00000162836,ACP6,"acid phosphatase 6, lysophosphatidic [Source:HGNC Symbol;Acc:HGNC:29609]",ENTREZGENE_ACC
